,count,mean,std,min,25%,50%,75%,max
Meridiennights,13.0,3.3846153846153846,1.0439078454267836,2.0,3.0,3.0,4.0,5.0
safeMeridien,13.0,5.153846153846154,0.6887372317211945,4.0,5.0,5.0,6.0,6.0
sucMeridien,13.0,4.461538461538462,1.5607361839521232,2.0,4.0,5.0,6.0,6.0
specMeridien,13.0,4.461538461538462,1.3301243435223524,1.0,4.0,5.0,5.0,6.0
cfreeMerid,13.0,4.6923076923076925,1.4935759876113537,2.0,4.0,5.0,6.0,6.0
wellMerid,13.0,4.6923076923076925,1.5483655567842813,1.0,4.0,5.0,6.0,6.0
clMerid,13.0,4.846153846153846,1.4051188470584879,1.0,4.0,5.0,6.0,6.0
wmMerid,13.0,4.538461538461538,1.5607361839521232,1.0,4.0,5.0,6.0,6.0
pamMerid,13.0,5.0,0.9128709291752769,3.0,5.0,5.0,6.0,6.0
Meridienpen,13.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Meridienpf,13.0,4.346153846153846,2.2209665255677105,1.5,3.5,3.5,5.5,8.0
SCRmerid,13.0,0.04923076923076924,0.03303067727167642,0.01,0.03,0.04,0.06,0.14
