,nulls,percent_missing
Q24_5_TEXT,378,0.9818181818181818
Meridienpf,366,0.9506493506493506
SCRmerid,366,0.9506493506493506
SCRdolce,365,0.948051948051948
Indigopf,365,0.948051948051948
Dolcepf,365,0.948051948051948
SCRindigo,365,0.948051948051948
SCRascend,364,0.9454545454545454
Ascendpf,364,0.9454545454545454
SCRmain,362,0.9402597402597402
Mainstaypf,362,0.9402597402597402
Parkpf,362,0.9402597402597402
SCRpark,362,0.9402597402597402
SCRaloft,359,0.9324675324675324
Aloftpf,359,0.9324675324675324
Clarionpf,357,0.9272727272727272
SCRclarion,357,0.9272727272727272
SCRsleep,356,0.9246753246753247
SCRhaw,356,0.9246753246753247
Sleeppf,356,0.9246753246753247
